time,label,current_year,default,payoff,int.rate,orig.upb,fico.score,dti.r,ltv.r,bal.repaid,t.act.12m,t.del.30d.12m,t.del.60d.12m,hpi.st.d.t.o,hpi.zip.o,hpi.zip.d.t.o,ppi.c.FRMA,TB10Y.d.t.o,FRMA30Y.d.t.o,ppi.o.FRMA,equity.est,hpi.st.log12m,hpi.r.st.us,hpi.r.zip.st,st.unemp.r12m,st.unemp.r3m,TB10Y.r12m,T10Y3MM,T10Y3MM.r12m
20,1,2001,0,1,8.5,228000,738,44,95,1.296886,12,0,0,15.779029999999999,137.56,20.3,1.48,-1.34,-1.11,0.37,50374.17,0.09416416,1.0238459999999998,1.4408889999999999,1.5,0.8,-1.07,2.78,3.23
12,1,2001,0,1,8.375,124000,793,34,66,0.8003252,12,0,0,11.747069999999999,125.64,4.13,1.345,-0.59,-0.96,0.385,70474.13,0.1227404,1.031658,1.189934,1.1,0.3,-0.81,1.73,1.64
30,1,2004,0,1,7.0,85000,741,14,63,2.678953,12,0,0,14.16407,140.43,14.33,1.6,-0.74,-1.24,0.36,65965.55,0.05617616,0.9033924999999999,1.292689,0.1,0.1,0.02,2.89,0.21
18,1,2001,0,1,8.625,126000,706,38,90,1.0635709999999998,11,1,0,14.08359,123.11,22.41,1.985,-1.87,-1.98,0.005,40824.63,0.10383010000000002,1.025557,1.328149,2.1,1.4,-1.17,2.41,2.78
12,1,2001,0,1,8.0,243000,675,48,90,0.8857202,12,0,0,7.773105999999999,130.35,8.26,0.97,-0.59,-0.96,0.01,46261.62,0.07904032,1.011758,1.295992,0.9,0.1,-0.81,1.73,1.64
5,1,2006,0,1,7.0,300000,813,45,45,0.3333333,12,0,0,-7.578202,350.76,-1.33,0.82,-0.32,-0.26,0.56,365138.8,-0.02799169,1.265158,1.689905,-0.2,0.0,0.09,-0.29,-0.87
30,1,2003,0,1,9.5,40000,585,21,57,4.939255999999999,12,0,0,16.41187,118.24,7.91,3.59,-1.93,-1.77,1.82,35924.58,0.0720193,0.9672713,1.086308,0.2,0.1,-1.47,2.68,-0.81
15,1,2005,0,1,6.5,118000,749,32,80,1.395508,12,0,0,17.55881,163.6,22.52,0.28,0.37,0.58,0.86,51450.49,0.11268779999999999,0.9368519000000001,1.226494,-0.1,-0.1,0.24,0.58,-1.46
6,1,2001,0,1,7.375,180000,746,20,76,0.5555555999999999,12,0,0,3.683671,131.81,2.93,0.655,-0.41,-0.4,0.255,63106.86,0.06600857,0.9983303,1.2666469999999999,1.2,0.4,-1.07,2.09,2.29
18,1,2002,0,1,7.5,118000,659,28,80,1.0637290000000001,12,0,0,7.405473,138.82,9.82,1.16,-0.45,-0.78,0.38,41189.22,0.04112929,0.9409146,1.374232,1.0,-0.2,-0.59,2.97,1.24
26,1,2004,0,1,6.125,256000,727,27,80,3.091641,12,0,0,13.33022,141.53,16.3,0.725,-1.08,-1.41,-0.685,108769.0,0.05617616,0.9033924999999999,1.318333,0.1,0.1,0.02,2.89,0.21
16,1,2001,0,1,8.25,148000,664,31,80,1.558784,12,0,0,13.02391,107.25,7.17,1.22,-0.75,-1.1,0.12,51674.83,0.08543998,1.010333,1.071326,0.1,0.5,-0.81,1.73,1.64
21,1,2003,0,1,6.75,255000,678,27,72,1.913529,12,0,0,34.519420000000004,175.29,39.29,0.77,-0.77,-0.98,-0.21,183430.1,0.1440506,1.140516,1.478705,0.1,-0.1,0.4,3.33,1.09
20,1,2001,0,1,8.625,41000,664,36,79,1.264805,12,0,0,3.540225,125.22,9.6,1.605,-1.34,-1.11,0.495,15396.12,0.02534363,0.9611646999999999,1.31084,1.6,0.8,-1.07,2.78,3.23
14,1,2004,0,1,6.625,210000,669,45,89,1.116952,12,0,0,10.20687,151.86,23.77,0.945,0.12,-0.25,0.695,65233.7,0.08259593,0.9750986999999999,1.3884100000000001,-0.3,0.0,0.1,3.27,0.39
11,1,2001,0,1,7.75,136000,738,29,75,0.9113971,11,1,0,4.024642,138.19,5.51,0.59,-0.01,0.04,0.63,53803.07,0.04734432,0.9777843,1.370552,2.6,0.8,-0.15,3.4,3.93
