date,headline
2007-03-14,"Viacom in $1 billion copyright suit versus Google, YouTube"
2007-03-15,Cisco to buy Web conference co. WebEx for $2.9 bln
2007-03-15,S&P; may raise PHH's rating on GE acquisition
2007-03-15,Cisco says more large-sized acquisitions possible
2007-03-15,Google aims to bolster privacy of Web surfer data
2007-03-15,ECC Capital says NYSE delays suspension and delisting of stock
2007-03-16,Time Warner could spin AOL stake this year: UBS
2007-03-16,Benetton names Warner Music executive CEO
2007-03-16,"Cisco, Microsoft gear up for growing battle"
2007-03-16,Britain's famed HP sauce goes Dutch
2007-03-16,Market View: Dow and S&P; 500 drop to new session lows 
2007-03-16,Market View: Dow and S&P; 500 stall near intraday resistances at 1390 and 12140
2007-03-17,Time Warner could spin AOL stake this year: UBS
2007-03-19,Time Warner could spin AOL stake this year: UBS
2007-03-19,YouTube to present video awards
2007-03-19,Japan TV vendor sues HP for compensation - Nikkei
2007-03-19,"Google Phone is in the works, say insiders"
2007-03-19,Study shows more risk with Pfizer antibiotic: FDA
2007-03-19,Google buys video game ad firm Adscape
2007-03-20,YouTube to present video awards
2007-03-21,Pepsi raises Gatorade prices to offset costs
2007-03-21,Microsoft says probing fraud on Xbox Live service
2007-03-21,Google share gains quicken in U.S. search market
2007-03-21,Pfizer's Celebrex patents upheld vs. Teva challenge
2007-03-21,Market View: Upside for S&P; 500 thus far capped by 50/50 level
2007-03-21,Teva Pharm notes U.S. District Court for the District of New Jersey decides to make generic version of Pfizer's Celebrex patent enforceable and valid
2007-03-22,Pfizer weighs options after losing Norvasc ruling
2007-03-22,New site aims to be the YouTube of gaming
2007-03-22,Court rules against Pfizer on Norvasc patent case
2007-03-22,Pepsi Bottling raises quarterly dividend by 27 pct
2007-03-22,EU's Kroes says Microsoft continues 'abuse'
2007-03-22,"News Corp., NBC to unveil YouTube rival: report"
2007-03-22,Microsoft said it will join forces with a newly formed Newscorp and NBC Universal joint venture to distribute a vast library of online video content
2007-03-22,Microsoft mogul upbeat ahead of space mission
2007-03-22,AT&T; foresees double-digit sales growth in Asia
2007-03-23,"EU panel backs wider use of Roche, Actelion drugs"
2007-03-23,Mylan launches generic of Pfizer's Norvasc
2007-03-23,"News Corp, NBC plan YouTube rival"
2007-03-23,L.A. gasoline leaps 25.75 cents on Exxon cut
2007-03-23,Control of advertiser at stake in Media vs Google
2007-03-23,"Pfizer to present new Lipitor data, including results from three large atherosclerosis imaging trials, at the American College of Cardiology Meeting"
